Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
1607000;Powiat nyski;-;-;-;-;-;-;-;-;-;-;-;-;8;14;11;14;16;9;14;13;8;8
1608000;Powiat oleski;-;-;-;-;-;-;-;-;-;-;-;-;5;12;3;9;10;15;5;10;9;2
1609000;Powiat opolski;-;-;-;-;-;-;-;-;-;-;-;-;24;11;26;16;23;17;14;7;13;16
1610000;Powiat prudnicki;-;-;-;-;-;-;-;-;-;-;-;-;4;5;2;2;6;9;6;3;5;5
1611000;Powiat strzelecki;-;-;-;-;-;-;-;-;-;-;-;-;13;5;5;14;10;5;4;3;4;4
1661000;Powiat m.Opole;-;-;-;-;-;-;-;-;-;-;-;-;7;2;7;4;8;9;6;10;4;0
1800000;PODKARPACKIE;289;267;246;223;250;295;287;260;257;234;220;202;224;184;151;144;136;141;124;125;157;132
1801000;Powiat bieszczadzki;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;1;0;0;1;1;1;3
1802000;Powiat brzozowski;-;-;-;-;-;-;-;-;-;-;-;-;8;7;4;2;4;2;3;2;2;5
1803000;Powiat dêbicki;-;-;-;-;-;-;-;-;-;-;-;-;17;12;12;16;6;8;12;6;3;11
1804000;Powiat jaros³awski;-;-;-;-;-;-;-;-;-;-;-;-;14;9;8;5;10;11;6;7;14;4
1805000;Powiat jasielski;-;-;-;-;-;-;-;-;-;-;-;-;5;10;3;8;6;4;2;8;7;5
1806000;Powiat kolbuszowski;-;-;-;-;-;-;-;-;-;-;-;-;10;4;5;5;9;7;5;8;3;9
1807000;Powiat kroœnieñski;-;-;-;-;-;-;-;-;-;-;-;-;10;11;7;8;7;8;11;7;6;6
1808000;Powiat le¿ajski;-;-;-;-;-;-;-;-;-;-;-;-;7;5;3;6;7;4;4;6;6;6
1809000;Powiat lubaczowski;-;-;-;-;-;-;-;-;-;-;-;-;14;2;11;3;3;3;3;3;3;2
1810000;Powiat ³añcucki;-;-;-;-;-;-;-;-;-;-;-;-;10;9;8;4;1;8;7;2;6;0
1811000;Powiat mielecki;-;-;-;-;-;-;-;-;-;-;-;-;11;9;13;15;8;5;8;5;15;9
1812000;Powiat ni¿añski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;6;11;10;11;8;5;8;11
1813000;Powiat przemyski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;5;4;3;3;3;7;5;3
1814000;Powiat przeworski;-;-;-;-;-;-;-;-;-;-;-;-;14;14;7;2;7;3;4;12;7;3
1815000;Powiat ropczycko-sêdziszowski;-;-;-;-;-;-;-;-;-;-;-;-;11;6;4;4;2;5;3;1;4;6
1816000;Powiat rzeszowski;-;-;-;-;-;-;-;-;-;-;-;-;21;26;18;15;7;18;8;9;23;17
1817000;Powiat sanocki;-;-;-;-;-;-;-;-;-;-;-;-;7;7;5;9;8;1;3;6;6;5
1818000;Powiat stalowowolski;-;-;-;-;-;-;-;-;-;-;-;-;12;10;5;3;11;9;10;8;6;8
1819000;Powiat strzy¿owski;-;-;-;-;-;-;-;-;-;-;-;-;12;10;7;10;5;7;5;7;3;2
1820000;Powiat tarnobrzeski;-;-;-;-;-;-;-;-;-;-;-;-;8;5;3;4;6;5;8;1;5;2
1821000;Powiat leski;-;-;-;-;-;-;-;-;-;-;-;-;1;0;1;1;2;6;1;0;4;1
1861000;Powiat m.Krosno;-;-;-;-;-;-;-;-;-;-;-;-;4;1;1;0;4;1;1;2;5;2
1862000;Powiat m.Przemyœl;-;-;-;-;-;-;-;-;-;-;-;-;2;0;0;2;2;1;1;0;4;4
1863000;Powiat m.Rzeszów;-;-;-;-;-;-;-;-;-;-;-;-;7;10;12;5;5;10;4;8;6;5
1864000;Powiat m.Tarnobrzeg;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;3;1;3;4;5;3
2000000;PODLASKIE;226;201;185;209;215;200;211;208;209;162;179;146;152;131;135;126;118;120;114;102;106;78
2001000;Powiat augustowski;-;-;-;-;-;-;-;-;-;-;-;-;7;10;18;8;18;17;5;6;6;8
2002000;Powiat bia³ostocki;-;-;-;-;-;-;-;-;-;-;-;-;24;14;18;20;21;16;17;16;24;15
2003000;Powiat bielski;-;-;-;-;-;-;-;-;-;-;-;-;11;14;7;11;6;11;10;12;14;5
2004000;Powiat grajewski;-;-;-;-;-;-;-;-;-;-;-;-;5;2;5;9;6;4;8;6;4;1
2005000;Powiat hajnowski;-;-;-;-;-;-;-;-;-;-;-;-;4;6;2;7;2;3;1;0;4;4
2006000;Powiat kolneñski;-;-;-;-;-;-;-;-;-;-;-;-;9;5;10;5;3;3;4;9;5;4
2007000;Powiat ³om¿yñski;-;-;-;-;-;-;-;-;-;-;-;-;15;17;10;8;7;9;9;8;6;10
2008000;Powiat moniecki;-;-;-;-;-;-;-;-;-;-;-;-;2;4;1;4;7;6;9;5;5;1
2009000;Powiat sejneñski;-;-;-;-;-;-;-;-;-;-;-;-;3;5;5;2;3;1;2;1;0;1
2010000;Powiat siemiatycki;-;-;-;-;-;-;-;-;-;-;-;-;6;5;8;9;8;4;7;4;3;4
2011000;Powiat sokólski;-;-;-;-;-;-;-;-;-;-;-;-;13;15;16;6;7;8;7;9;8;8
2012000;Powiat suwalski;-;-;-;-;-;-;-;-;-;-;-;-;12;4;5;6;5;3;9;4;7;4
2013000;Powiat wysokomazowiecki;-;-;-;-;-;-;-;-;-;-;-;-;8;5;7;8;9;14;10;8;8;7
2014000;Powiat zambrowski;-;-;-;-;-;-;-;-;-;-;-;-;13;11;10;10;9;5;12;5;4;2
2061000;Powiat m.Bia³ystok;-;-;-;-;-;-;-;-;-;-;-;-;13;9;10;8;3;5;3;6;6;2
2062000;Powiat m.£om¿a;-;-;-;-;-;-;-;-;-;-;-;-;5;0;1;4;1;7;0;1;1;2
2063000;Powiat m.Suwa³ki;-;-;-;-;-;-;-;-;-;-;-;-;2;5;2;1;3;4;1;2;1;0
2200000;POMORSKIE;350;322;329;285;276;307;266;256;266;265;257;198;222;179;174;181;170;144;134;146;160;169
2201000;Powiat bytowski;-;-;-;-;-;-;-;-;-;-;-;-;14;5;8;8;9;7;9;13;5;15
2202000;Powiat chojnicki;-;-;-;-;-;-;-;-;-;-;-;-;7;5;6;12;4;6;11;3;5;9
2203000;Powiat cz³uchowski;-;-;-;-;-;-;-;-;-;-;-;-;4;15;11;4;14;8;3;12;10;6
2204000;Powiat gdañski;-;-;-;-;-;-;-;-;-;-;-;-;19;12;9;11;9;6;6;8;8;13
2205000;Powiat kartuski;-;-;-;-;-;-;-;-;-;-;-;-;17;13;9;10;21;7;16;16;11;13
2206000;Powiat koœcierski;-;-;-;-;-;-;-;-;-;-;-;-;14;10;9;7;9;9;4;8;8;9
2207000;Powiat kwidzyñski;-;-;-;-;-;-;-;-;-;-;-;-;8;5;10;8;8;4;7;2;7;5
2208000;Powiat lêborski;-;-;-;-;-;-;-;-;-;-;-;-;5;6;4;7;8;3;4;4;6;4
2209000;Powiat malborski;-;-;-;-;-;-;-;-;-;-;-;-;16;7;7;13;9;8;5;6;9;3
2210000;Powiat nowodworski;-;-;-;-;-;-;-;-;-;-;-;-;10;10;6;3;2;5;3;1;1;7
2211000;Powiat pucki;-;-;-;-;-;-;-;-;-;-;-;-;7;9;16;8;12;6;4;5;7;6
2212000;Powiat s³upski;-;-;-;-;-;-;-;-;-;-;-;-;12;5;13;20;8;9;8;11;14;18
2213000;Powiat starogardzki;-;-;-;-;-;-;-;-;-;-;-;-;14;13;8;6;14;11;5;7;14;9
2214000;Powiat tczewski;-;-;-;-;-;-;-;-;-;-;-;-;11;5;5;8;8;4;9;9;9;10
2215000;Powiat wejherowski;-;-;-;-;-;-;-;-;-;-;-;-;18;17;16;26;10;14;13;13;21;12
2216000;Powiat sztumski;-;-;-;-;-;-;-;-;-;-;-;-;3;5;3;5;6;3;7;2;2;5
2261000;Powiat m.Gdañsk;-;-;-;-;-;-;-;-;-;-;-;-;25;20;18;14;13;12;13;11;11;15
2262000;Powiat m.Gdynia;-;-;-;-;-;-;-;-;-;-;-;-;13;13;8;8;3;14;6;9;8;7
2263000;Powiat m.S³upsk;-;-;-;-;-;-;-;-;-;-;-;-;4;1;5;1;3;5;1;6;2;2
2264000;Powiat m.Sopot;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;2;0;3;0;0;2;1
2400000;ŒL¥SKIE;633;588;457;513;513;511;439;427;475;455;414;352;347;336;267;249;255;257;246;219;199;189
2401000;Powiat bêdziñski;-;-;-;-;-;-;-;-;-;-;-;-;12;22;19;13;13;25;9;17;11;16
2402000;Powiat bielski;-;-;-;-;-;-;-;-;-;-;-;-;17;13;7;4;8;9;6;4;5;1
2403000;Powiat cieszyñski;-;-;-;-;-;-;-;-;-;-;-;-;18;18;10;12;18;10;14;8;8;10
2404000;Powiat czêstochowski;-;-;-;-;-;-;-;-;-;-;-;-;30;21;22;26;20;13;15;24;12;18
2405000;Powiat gliwicki;-;-;-;-;-;-;-;-;-;-;-;-;13;14;8;8;12;8;12;12;7;6
2406000;Powiat k³obucki;-;-;-;-;-;-;-;-;-;-;-;-;12;11;10;12;7;10;10;7;10;6
2407000;Powiat lubliniecki;-;-;-;-;-;-;-;-;-;-;-;-;22;6;8;9;1;14;8;3;5;9
2408000;Powiat miko³owski;-;-;-;-;-;-;-;-;-;-;-;-;10;12;4;4;2;12;7;2;7;2
2409000;Powiat myszkowski;-;-;-;-;-;-;-;-;-;-;-;-;8;16;5;7;7;11;10;8;8;3
2410000;Powiat pszczyñski;-;-;-;-;-;-;-;-;-;-;-;-;11;5;10;12;15;10;11;11;8;5
2411000;Powiat raciborski;-;-;-;-;-;-;-;-;-;-;-;-;11;13;6;4;6;8;5;8;8;3
2412000;Powiat rybnicki;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;4;3;3;2;7;3;1
2413000;Powiat tarnogórski;-;-;-;-;-;-;-;-;-;-;-;-;8;11;7;7;10;4;11;12;8;8
2414000;Powiat bieruñsko-lêdziñski;-;-;-;-;-;-;-;-;-;-;-;-;3;6;2;3;6;3;10;6;6;6
2415000;Powiat wodzis³awski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;12;7;4;5;4;6;3;8
2416000;Powiat zawierciañski;-;-;-;-;-;-;-;-;-;-;-;-;13;17;13;12;14;10;9;12;9;4
2417000;Powiat ¿ywiecki;-;-;-;-;-;-;-;-;-;-;-;-;10;15;9;10;15;4;10;3;10;10
2461000;Powiat m.Bielsko-Bia³a;-;-;-;-;-;-;-;-;-;-;-;-;10;8;7;5;8;5;8;5;2;3
2462000;Powiat m.Bytom;-;-;-;-;-;-;-;-;-;-;-;-;3;8;4;11;8;4;4;5;4;2
2463000;Powiat m.Chorzów;-;-;-;-;-;-;-;-;-;-;-;-;7;4;2;1;2;2;2;4;2;2
2464000;Powiat m.Czêstochowa;-;-;-;-;-;-;-;-;-;-;-;-;15;15;12;4;8;14;10;10;3;10
2465000;Powiat m.D¹browa Górnicza;-;-;-;-;-;-;-;-;-;-;-;-;14;10;9;6;4;7;5;4;7;7
2466000;Powiat m.Gliwice;-;-;-;-;-;-;-;-;-;-;-;-;16;14;5;13;15;11;12;5;4;9
2467000;Powiat m.Jastrzêbie-Zdrój;-;-;-;-;-;-;-;-;-;-;-;-;4;1;3;1;6;1;4;0;3;2
2468000;Powiat m.Jaworzno;-;-;-;-;-;-;-;-;-;-;-;-;2;6;4;5;2;4;0;5;1;2
2469000;Powiat m.Katowice;-;-;-;-;-;-;-;-;-;-;-;-;12;20;21;14;13;18;11;4;12;7
2470000;Powiat m.Mys³owice;-;-;-;-;-;-;-;-;-;-;-;-;4;5;2;4;3;4;1;3;2;3
2471000;Powiat m.Piekary Œl¹skie;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;1;0;2;3;2;0;2
2472000;Powiat m.Ruda Œl¹ska;-;-;-;-;-;-;-;-;-;-;-;-;4;8;3;5;4;3;2;2;1;2
2473000;Powiat m.Rybnik;-;-;-;-;-;-;-;-;-;-;-;-;8;3;7;4;11;6;3;1;7;6
2474000;Powiat m.Siemianowice Œl¹skie;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;0;1;0;0;1;0;1
2475000;Powiat m.Sosnowiec;-;-;-;-;-;-;-;-;-;-;-;-;9;5;6;5;3;8;12;6;6;5
2476000;Powiat m.Œwiêtoch³owice;-;-;-;-;-;-;-;-;-;-;-;-;4;0;2;0;1;2;1;0;1;0
2477000;Powiat m.Tychy;-;-;-;-;-;-;-;-;-;-;-;-;13;4;10;8;2;1;9;6;6;4
2478000;Powiat m.Zabrze;-;-;-;-;-;-;-;-;-;-;-;-;7;7;10;7;2;5;4;5;7;4
2479000;Powiat m.¯ory;-;-;-;-;-;-;-;-;-;-;-;-;4;5;1;1;1;1;2;1;3;2
2600000;ŒWIÊTOKRZYSKIE;299;263;222;292;242;221;227;221;256;240;176;197;179;136;143;130;108;107;115;127;131;96
2601000;Powiat buski;-;-;-;-;-;-;-;-;-;-;-;-;16;13;8;10;8;7;7;8;8;7
2602000;Powiat jêdrzejowski;-;-;-;-;-;-;-;-;-;-;-;-;18;23;14;10;6;6;6;10;7;9
2603000;Powiat kazimierski;-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;2;2;2;3;3;3;3
2604000;Powiat kielecki;-;-;-;-;-;-;-;-;-;-;-;-;47;26;36;37;39;22;38;32;25;18
2605000;Powiat konecki;-;-;-;-;-;-;-;-;-;-;-;-;14;9;8;7;6;12;7;15;17;6
2606000;Powiat opatowski;-;-;-;-;-;-;-;-;-;-;-;-;13;12;18;11;8;12;6;10;16;6
2607000;Powiat ostrowiecki;-;-;-;-;-;-;-;-;-;-;-;-;5;5;9;6;0;5;5;7;10;5
2608000;Powiat piñczowski;-;-;-;-;-;-;-;-;-;-;-;-;8;5;3;5;2;1;11;5;5;0
2609000;Powiat sandomierski;-;-;-;-;-;-;-;-;-;-;-;-;14;15;7;5;11;11;5;9;6;8
2610000;Powiat skar¿yski;-;-;-;-;-;-;-;-;-;-;-;-;11;6;6;10;2;5;7;3;6;7
2611000;Powiat starachowicki;-;-;-;-;-;-;-;-;-;-;-;-;4;8;6;13;3;8;6;14;8;8
2612000;Powiat staszowski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;6;9;7;7;5;3;10;2
2613000;Powiat w³oszczowski;-;-;-;-;-;-;-;-;-;-;-;-;7;2;6;2;4;3;4;5;7;11
2661000;Powiat m.Kielce;-;-;-;-;-;-;-;-;-;-;-;-;11;4;14;3;10;6;5;3;3;6
2800000;WARMIÑSKO-MAZURSKIE;314;284;278;251;270;315;279;248;271;224;176;168;179;145;154;148;140;158;118;140;103;115
2801000;Powiat bartoszycki;-;-;-;-;-;-;-;-;-;-;-;-;7;5;8;3;13;10;4;6;2;3
2802000;Powiat braniewski;-;-;-;-;-;-;-;-;-;-;-;-;7;2;5;7;7;5;5;8;4;6
2803000;Powiat dzia³dowski;-;-;-;-;-;-;-;-;-;-;-;-;11;7;8;6;3;2;5;10;3;7
2804000;Powiat elbl¹ski;-;-;-;-;-;-;-;-;-;-;-;-;10;8;10;12;4;17;7;8;2;7
2805000;Powiat e³cki;-;-;-;-;-;-;-;-;-;-;-;-;8;5;9;5;5;6;2;5;6;6
2806000;Powiat gi¿ycki;-;-;-;-;-;-;-;-;-;-;-;-;10;7;10;4;10;7;3;4;4;3
2807000;Powiat i³awski;-;-;-;-;-;-;-;-;-;-;-;-;6;6;9;6;8;14;9;10;9;5
2808000;Powiat kêtrzyñski;-;-;-;-;-;-;-;-;-;-;-;-;5;4;5;9;7;4;5;6;6;9
2809000;Powiat lidzbarski;-;-;-;-;-;-;-;-;-;-;-;-;7;4;5;7;7;7;5;4;2;5
2810000;Powiat mr¹gowski;-;-;-;-;-;-;-;-;-;-;-;-;3;11;11;8;4;7;5;5;2;5
2811000;Powiat nidzicki;-;-;-;-;-;-;-;-;-;-;-;-;9;11;3;3;9;2;2;4;4;7
2812000;Powiat nowomiejski;-;-;-;-;-;-;-;-;-;-;-;-;3;8;3;6;2;2;3;4;1;2
2813000;Powiat olecki;-;-;-;-;-;-;-;-;-;-;-;-;9;3;7;2;5;7;5;5;6;7
2814000;Powiat olsztyñski;-;-;-;-;-;-;-;-;-;-;-;-;34;27;23;17;25;24;25;24;21;8
2815000;Powiat ostródzki;-;-;-;-;-;-;-;-;-;-;-;-;18;11;9;20;6;16;6;16;9;14
2816000;Powiat piski;-;-;-;-;-;-;-;-;-;-;-;-;4;2;8;6;5;8;6;3;7;3
2817000;Powiat szczycieñski;-;-;-;-;-;-;-;-;-;-;-;-;10;10;8;5;9;9;6;6;6;9
2818000;Powiat go³dapski;-;-;-;-;-;-;-;-;-;-;-;-;3;4;2;4;0;1;2;3;5;3
2819000;Powiat wêgorzewski;-;-;-;-;-;-;-;-;-;-;-;-;4;2;3;2;4;1;1;2;1;2
2861000;Powiat m.Elbl¹g;-;-;-;-;-;-;-;-;-;-;-;-;4;3;5;3;4;1;8;3;1;3
2862000;Powiat m.Olsztyn;-;-;-;-;-;-;-;-;-;-;-;-;7;5;3;13;3;8;4;4;2;1
3000000;WIELKOPOLSKIE;690;603;495;520;525;540;503;511;511;553;403;343;405;315;289;268;245;249;294;261;279;217
3001000;Powiat chodzieski;-;-;-;-;-;-;-;-;-;-;-;-;10;3;9;5;2;0;6;4;6;5
3002000;Powiat czarnkowsko-trzcianecki;-;-;-;-;-;-;-;-;-;-;-;-;14;9;11;10;11;12;4;7;6;7
3003000;Powiat gnieŸnieñski;-;-;-;-;-;-;-;-;-;-;-;-;23;20;9;5;16;11;10;10;14;9
3004000;Powiat gostyñski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;6;5;5;5;3;3;4;4
3005000;Powiat grodziski;-;-;-;-;-;-;-;-;-;-;-;-;5;3;6;6;2;4;3;4;7;4
3006000;Powiat jarociñski;-;-;-;-;-;-;-;-;-;-;-;-;8;7;7;6;7;4;6;9;8;5
3007000;Powiat kaliski;-;-;-;-;-;-;-;-;-;-;-;-;10;10;9;9;15;12;12;10;6;2
3008000;Powiat kêpiñski;-;-;-;-;-;-;-;-;-;-;-;-;12;7;7;4;5;4;4;6;14;4
3009000;Powiat kolski;-;-;-;-;-;-;-;-;-;-;-;-;21;8;8;8;11;10;3;3;9;5
3010000;Powiat koniñski;-;-;-;-;-;-;-;-;-;-;-;-;16;23;10;9;15;10;16;8;10;12
3011000;Powiat koœciañski;-;-;-;-;-;-;-;-;-;-;-;-;5;3;10;6;10;5;7;9;6;4
3012000;Powiat krotoszyñski;-;-;-;-;-;-;-;-;-;-;-;-;8;10;10;5;11;3;9;3;4;10
3013000;Powiat leszczyñski;-;-;-;-;-;-;-;-;-;-;-;-;10;9;11;5;1;5;2;6;5;3
3014000;Powiat miêdzychodzki;-;-;-;-;-;-;-;-;-;-;-;-;4;8;6;2;1;5;2;5;7;5
3015000;Powiat nowotomyski;-;-;-;-;-;-;-;-;-;-;-;-;13;9;7;7;7;7;9;8;9;3
3016000;Powiat obornicki;-;-;-;-;-;-;-;-;-;-;-;-;7;5;11;10;2;13;8;4;7;3
3017000;Powiat ostrowski;-;-;-;-;-;-;-;-;-;-;-;-;23;18;12;11;14;10;16;12;17;13
3018000;Powiat ostrzeszowski;-;-;-;-;-;-;-;-;-;-;-;-;12;9;5;11;6;4;16;7;7;5
3019000;Powiat pilski;-;-;-;-;-;-;-;-;-;-;-;-;24;6;14;14;8;19;12;12;9;5
3020000;Powiat pleszewski;-;-;-;-;-;-;-;-;-;-;-;-;9;6;10;8;7;4;3;11;12;7
3021000;Powiat poznañski;-;-;-;-;-;-;-;-;-;-;-;-;33;18;23;34;25;18;25;22;28;21
3022000;Powiat rawicki;-;-;-;-;-;-;-;-;-;-;-;-;5;7;2;2;1;5;2;5;6;5
3023000;Powiat s³upecki;-;-;-;-;-;-;-;-;-;-;-;-;5;10;6;13;3;4;3;3;4;2
3024000;Powiat szamotulski;-;-;-;-;-;-;-;-;-;-;-;-;13;15;11;8;6;7;20;12;8;10
3025000;Powiat œredzki;-;-;-;-;-;-;-;-;-;-;-;-;15;9;8;6;6;8;14;8;2;6
3026000;Powiat œremski;-;-;-;-;-;-;-;-;-;-;-;-;4;6;2;5;4;5;6;3;4;3
3027000;Powiat turecki;-;-;-;-;-;-;-;-;-;-;-;-;13;15;7;6;6;13;11;11;12;13
3028000;Powiat w¹growiecki;-;-;-;-;-;-;-;-;-;-;-;-;10;6;4;4;3;5;7;2;5;4
3029000;Powiat wolsztyñski;-;-;-;-;-;-;-;-;-;-;-;-;7;1;4;3;3;3;7;1;4;1
3030000;Powiat wrzesiñski;-;-;-;-;-;-;-;-;-;-;-;-;9;7;6;6;6;10;7;11;8;7
3031000;Powiat z³otowski;-;-;-;-;-;-;-;-;-;-;-;-;12;8;8;6;6;3;11;7;6;8
3061000;Powiat m.Kalisz;-;-;-;-;-;-;-;-;-;-;-;-;3;4;4;3;2;2;5;5;5;3
3062000;Powiat m.Konin;-;-;-;-;-;-;-;-;-;-;-;-;4;7;4;6;4;2;4;3;4;3
3063000;Powiat m.Leszno;-;-;-;-;-;-;-;-;-;-;-;-;4;2;2;4;0;5;1;1;1;0
3064000;Powiat m.Poznañ;-;-;-;-;-;-;-;-;-;-;-;-;26;21;20;16;14;12;20;26;15;16
3200000;ZACHODNIOPOMORSKIE;328;329;249;250;243;235;236;233;229;244;206;151;170;131;155;147;125;149;120;129;129;101
3201000;Powiat bia³ogardzki;-;-;-;-;-;-;-;-;-;-;-;-;1;8;7;7;0;7;2;6;2;2
3202000;Powiat choszczeñski;-;-;-;-;-;-;-;-;-;-;-;-;3;3;3;7;8;10;3;2;6;1
3203000;Powiat drawski;-;-;-;-;-;-;-;-;-;-;-;-;12;9;13;3;6;6;1;6;11;1
3204000;Powiat goleniowski;-;-;-;-;-;-;-;-;-;-;-;-;18;5;11;11;8;12;7;14;6;4
3205000;Powiat gryficki;-;-;-;-;-;-;-;-;-;-;-;-;5;4;14;10;5;13;7;7;3;6
3206000;Powiat gryfiñski;-;-;-;-;-;-;-;-;-;-;-;-;8;6;6;8;13;6;6;7;7;4
3207000;Powiat kamieñski;-;-;-;-;-;-;-;-;-;-;-;-;7;6;8;9;10;11;3;6;3;7
3208000;Powiat ko³obrzeski;-;-;-;-;-;-;-;-;-;-;-;-;16;7;3;9;5;9;16;13;9;4
3209000;Powiat koszaliñski;-;-;-;-;-;-;-;-;-;-;-;-;8;10;13;9;10;6;9;6;8;12
3210000;Powiat myœliborski;-;-;-;-;-;-;-;-;-;-;-;-;11;6;7;7;6;2;10;7;5;7
3211000;Powiat policki;-;-;-;-;-;-;-;-;-;-;-;-;5;8;3;4;1;3;2;2;3;6
3212000;Powiat pyrzycki;-;-;-;-;-;-;-;-;-;-;-;-;8;6;3;4;8;6;3;3;2;4
3213000;Powiat s³awieñski;-;-;-;-;-;-;-;-;-;-;-;-;12;7;9;12;4;9;7;10;7;3
3214000;Powiat stargardzki;-;-;-;-;-;-;-;-;-;-;-;-;14;12;14;16;5;13;9;9;8;2
3215000;Powiat szczecinecki;-;-;-;-;-;-;-;-;-;-;-;-;6;2;6;1;7;2;6;6;4;3
3216000;Powiat œwidwiñski;-;-;-;-;-;-;-;-;-;-;-;-;8;2;5;4;4;9;2;0;3;6
3217000;Powiat wa³ecki;-;-;-;-;-;-;-;-;-;-;-;-;9;8;10;4;4;11;7;4;12;11
3218000;Powiat ³obeski;-;-;-;-;-;-;-;-;-;-;-;-;2;5;2;1;2;3;2;5;5;5
3261000;Powiat m.Koszalin;-;-;-;-;-;-;-;-;-;-;-;-;3;7;1;4;3;1;3;1;3;1
3262000;Powiat m.Szczecin;-;-;-;-;-;-;-;-;-;-;-;-;13;10;16;17;15;10;10;12;19;10
3263000;Powiat m.Œwinoujœcie;-;-;-;-;-;-;-;-;-;-;-;-;1;0;1;0;1;0;5;3;3;2
